no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Latvian,Ēģiptes zoss
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Latvian,Nīlas zoss 
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Latvian,Sarkanvēdera krāšņvāvere
3,Animalia,"Corvus splendens Viellot, 1817",Latvian,Indijas vārna
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Latvian,Japānas cimdiņkrabis
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Latvian,Ķīnas cimdiņkrabis
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Latvian,mazais Āzijas mangusts
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Latvian,vērša varde
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Latvian,Ķīnas mundžaks
8,Animalia,"Myocastor coypus Molina, 1782",Latvian,nūtrija
9,Animalia,"Nasua nasua Linnaeus, 1766",Latvian,Dienvidamerikas degunlācītis
10,Animalia,Nyctereutes procyonoides Gray 1834,Latvian,jenotsuns
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Latvian,ondatra
12,Animalia,"Orconectes limosus Rafinesque, 1817",Latvian,dzeloņvaigu vēzis
13,Animalia,"Orconectes virilis Hagen, 1870",Latvian,no common name
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Latvian,Jamaikas zilknābis (Jamaikas pīle)
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Latvian,Amerikas signālvēzis
16,Animalia,"Perccottus glenii Dybowski, 1877",Latvian,rotans
17,Animalia,"Procambarus clarkii Girard, 1852",Latvian,sarkanais purva vēzis
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Latvian,marmorvēzis
19,Animalia,"Procyon lotor Linnaeus, 1758",Latvian,jenots
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Latvian,Amūras čebačeks
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Latvian,pelēkā vāvere
22,Animalia,"Sciurus niger Linnaeus, 1758",Latvian,melnā vāvere
23,Animalia,"Tamias sibiricus Laxmann, 1769",Latvian,Sibīrijas burunduks
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Latvian,svētais ibiss
25,Animalia,"Trachemys scripta Schoepff, 1792",Latvian,sarkanausu bruņurupucis
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Latvian,Āzijas sirsenis
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Latvian,no common name
28,Plantae,Asclepias syriaca L.,Latvian,no common name
29,Plantae,Baccharis halimifolia L.,Latvian,no common name
30,Plantae,Cabomba caroliniana Gray,Latvian,no common name
31,Plantae,Eichhornia crassipes (Martius) Solms,Latvian,resnkātu ūdenshiacinte
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Latvian,no common name
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Latvian,krāsu gunnera
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Latvian,Mantegaca latvānis
35,Plantae,Heracleum persicum Fischer,Latvian,Persijas latvānis
36,Plantae,Heracleum sosnowskyi Mandenova,Latvian,Sosnovska latvānis
37,Plantae,Hydrocotyle ranunculoides L. f.,Latvian,no common name
38,Plantae,Impatiens glandulifera Royle,Latvian,puķu sprigane
39,Plantae,Lagarosiphon major (Ridley) Moss,Latvian,Āfrikas elodeja
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Latvian,no common name
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Latvian,no common name
42,Plantae,Lysichiton americanus Hultén and St. John,Latvian,Amerikas lizihitons
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Latvian,no common name
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Latvian,no common name
45,Plantae,Myriophyllum heterophyllum Michx.,Latvian,no common name
46,Plantae,Parthenium hysterophorus L.,Latvian,no common name
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Latvian,purpurvioletā sarzāle
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Latvian,no common name
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Latvian,no common name
